order_id,date,product,category,region,quantity,unit_price,revenue
1428,2025-01-02,Tablet,Electronics,East,4,406.26,1625.06
1036,2025-01-04,Monitor,Electronics,South,2,260.39,520.78
1201,2025-01-05,Tablet,Electronics,East,10,429.21,4292.05
1141,2025-01-08,Headphones,Accessories,East,9,74.03,666.23
1469,2025-01-09,Tablet,Electronics,North,9,417.78,3759.98
1316,2025-01-09,Mouse,Accessories,East,6,26.44,158.66
1228,2025-01-09,Monitor,Electronics,East,3,238.27,714.81
1381,2025-01-09,Keyboard,Accessories,West,6,43.48,260.89
1289,2025-01-10,Tablet,Electronics,East,6,384.71,2308.26
1262,2025-01-10,Laptop,Electronics,West,8,975.81,7806.47
1386,2025-01-10,Smartphone,Electronics,South,8,673.92,5391.34
1091,2025-01-13,Monitor,Electronics,South,1,237.24,237.24
1161,2025-01-14,Mouse,Accessories,East,2,23.64,47.29
1494,2025-01-14,Tablet,Electronics,North,2,388.31,776.63
1248,2025-01-15,Laptop,Electronics,East,3,859.19,2577.57
1356,2025-01-15,Mouse,Accessories,North,2,22.73,45.45
1129,2025-01-15,Tablet,Electronics,East,8,428.08,3424.61
1486,2025-01-16,Tablet,Electronics,East,5,422.68,2113.42
1154,2025-01-17,Webcam,Accessories,East,4,57.46,229.83
1219,2025-01-17,Tablet,Electronics,East,6,377.38,2264.29
1333,2025-01-18,Headphones,Accessories,West,3,73.08,219.23
1377,2025-01-20,Laptop,Electronics,North,3,938.45,2815.34
1321,2025-01-22,Laptop,Electronics,South,6,978.01,5868.04
1318,2025-01-23,Mouse,Accessories,South,6,25.23,151.38
1294,2025-01-23,Headphones,Accessories,West,7,77.83,544.8
1081,2025-01-23,Monitor,Electronics,East,7,225.08,1575.59
1191,2025-01-24,Keyboard,Accessories,North,6,47.67,285.99
1257,2025-01-24,Webcam,Accessories,East,4,58.74,234.97
1479,2025-01-24,Webcam,Accessories,East,2,62.21,124.43
1399,2025-01-26,Monitor,Electronics,South,9,236.28,2126.55
1111,2025-01-26,Webcam,Accessories,South,5,58.55,292.75
1171,2025-01-27,Webcam,Accessories,West,4,57.2,228.82
1253,2025-01-27,Mouse,Accessories,North,3,23.29,69.86
1041,2025-01-28,Tablet,Electronics,West,2,364.85,729.7
1484,2025-01-28,Smartphone,Electronics,East,2,691.19,1382.38
1050,2025-01-30,Webcam,Accessories,South,9,54.96,494.65
1448,2025-01-30,Headphones,Accessories,West,9,78.6,707.43
1279,2025-02-01,Webcam,Accessories,South,8,55.24,441.94
1221,2025-02-01,Mouse,Accessories,East,7,23.88,167.16
1016,2025-02-03,Tablet,Electronics,East,4,433.05,1732.2
1037,2025-02-04,Laptop,Electronics,South,1,964.73,964.73
1314,2025-02-04,Smartphone,Electronics,East,9,706.17,6355.54
1250,2025-02-05,Headphones,Accessories,West,3,83.86,251.57
1123,2025-02-05,Tablet,Electronics,East,9,411.8,3706.23
1058,2025-02-05,Headphones,Accessories,East,4,77.91,311.65
1261,2025-02-06,Monitor,Electronics,East,7,268.09,1876.62
1155,2025-02-06,Keyboard,Accessories,West,4,48.82,195.26
1146,2025-02-07,Tablet,Electronics,West,10,410.36,4103.56
1067,2025-02-08,Laptop,Electronics,North,3,908.21,2724.62
1465,2025-02-08,Laptop,Electronics,North,1,947.58,947.58
1291,2025-02-09,Headphones,Accessories,South,5,85.51,427.55
1100,2025-02-09,Keyboard,Accessories,West,5,42.61,213.05
1276,2025-02-09,Mouse,Accessories,East,2,25.58,51.15
1327,2025-02-10,Smartphone,Electronics,West,7,714.34,5000.4
1010,2025-02-10,Monitor,Electronics,East,4,268.32,1073.3
1234,2025-02-11,Webcam,Accessories,North,6,61.3,367.8
1285,2025-02-11,Headphones,Accessories,East,10,82.62,826.18
1301,2025-02-12,Smartphone,Electronics,East,3,668.19,2004.57
1110,2025-02-12,Tablet,Electronics,North,7,370.86,2595.99
1425,2025-02-16,Monitor,Electronics,West,9,247.27,2225.47
1302,2025-02-16,Headphones,Accessories,West,4,85.07,340.27
1241,2025-02-16,Webcam,Accessories,North,2,55.12,110.24
1222,2025-02-16,Smartphone,Electronics,West,4,719.84,2879.35
1020,2025-02-16,Headphones,Accessories,West,1,85.78,85.78
1064,2025-02-17,Keyboard,Accessories,North,7,47.96,335.75
1040,2025-02-19,Monitor,Electronics,North,7,242.71,1699.0
1471,2025-02-19,Headphones,Accessories,North,9,74.38,669.44
1190,2025-02-20,Smartphone,Electronics,West,2,692.11,1384.23
1305,2025-02-20,Laptop,Electronics,East,6,952.45,5714.69
1400,2025-02-21,Monitor,Electronics,North,7,241.51,1690.6
1185,2025-02-21,Smartphone,Electronics,West,9,757.46,6817.16
1143,2025-02-22,Headphones,Accessories,West,1,81.19,81.19
1270,2025-02-22,Headphones,Accessories,South,3,76.1,228.29
1199,2025-02-24,Tablet,Electronics,West,4,390.51,1562.04
1491,2025-02-24,Mouse,Accessories,East,2,22.53,45.05
1398,2025-02-25,Keyboard,Accessories,South,10,47.17,471.68
1079,2025-02-25,Keyboard,Accessories,North,10,44.41,444.11
1437,2025-02-27,Keyboard,Accessories,South,1,47.79,47.79
1337,2025-02-28,Keyboard,Accessories,South,1,47.12,47.12
1156,2025-02-28,Monitor,Electronics,West,9,236.24,2126.16
1264,2025-02-28,Tablet,Electronics,East,7,361.67,2531.68
1061,2025-03-01,Headphones,Accessories,East,2,83.88,167.76
1078,2025-03-01,Mouse,Accessories,North,5,23.39,116.96
1148,2025-03-02,Smartphone,Electronics,South,9,737.02,6633.2
1433,2025-03-02,Headphones,Accessories,East,3,87.89,263.66
1138,2025-03-03,Monitor,Electronics,East,9,272.54,2452.89
1052,2025-03-03,Monitor,Electronics,West,10,237.31,2373.11
1394,2025-03-04,Keyboard,Accessories,East,10,46.59,465.9
1340,2025-03-04,Webcam,Accessories,South,3,64.23,192.7
1324,2025-03-05,Mouse,Accessories,East,6,24.68,148.11
1117,2025-03-06,Headphones,Accessories,South,8,82.71,661.69
1242,2025-03-08,Smartphone,Electronics,East,9,638.4,5745.58
1227,2025-03-09,Smartphone,Electronics,North,1,680.15,680.15
1426,2025-03-09,Laptop,Electronics,West,9,884.78,7962.99
1096,2025-03-10,Smartphone,Electronics,West,8,723.46,5787.69
1419,2025-03-10,Monitor,Electronics,South,8,232.66,1861.27
1464,2025-03-13,Mouse,Accessories,South,9,24.94,224.47
1157,2025-03-14,Headphones,Accessories,East,2,72.95,145.91
1364,2025-03-14,Webcam,Accessories,South,2,54.61,109.21
1498,2025-03-16,Keyboard,Accessories,West,2,42.0,84.01
1460,2025-03-16,Laptop,Electronics,South,1,856.94,856.94
1225,2025-03-17,Monitor,Electronics,East,10,225.14,2251.42
1147,2025-03-18,Laptop,Electronics,South,10,980.84,9808.43
1378,2025-03-18,Webcam,Accessories,West,10,64.72,647.18
1273,2025-03-19,Mouse,Accessories,East,8,22.84,182.73
1293,2025-03-20,Headphones,Accessories,West,3,74.89,224.68
1461,2025-03-20,Tablet,Electronics,East,4,386.39,1545.56
1245,2025-03-21,Smartphone,Electronics,South,8,661.39,5291.15
1360,2025-03-22,Smartphone,Electronics,North,8,688.19,5505.5
1252,2025-03-22,Webcam,Accessories,East,6,57.74,346.44
1343,2025-03-22,Keyboard,Accessories,East,3,47.64,142.93
1073,2025-03-23,Monitor,Electronics,East,2,244.13,488.25
1366,2025-03-23,Mouse,Accessories,South,8,27.48,219.84
1027,2025-03-24,Headphones,Accessories,East,9,87.26,785.3
1071,2025-03-25,Headphones,Accessories,South,3,86.1,258.31
1119,2025-03-25,Headphones,Accessories,North,5,73.73,368.65
1351,2025-03-26,Headphones,Accessories,East,3,77.16,231.49
1268,2025-03-28,Monitor,Electronics,East,2,250.52,501.05
1497,2025-03-28,Headphones,Accessories,West,3,76.3,228.91
1384,2025-03-29,Laptop,Electronics,West,9,923.22,8309.02
1193,2025-03-29,Tablet,Electronics,South,3,366.32,1098.95
1260,2025-03-31,Webcam,Accessories,West,3,58.56,175.69
1405,2025-04-01,Headphones,Accessories,West,1,87.95,87.95
1480,2025-04-02,Keyboard,Accessories,North,6,40.64,243.85
1488,2025-04-06,Tablet,Electronics,West,10,412.85,4128.54
